chr,start,end,testSample1,testSample2
1,195870000,195899999,-0.237052764,0.246237141
2,212700000,212729999,-0.353773961,0.2461324
1,238800000,238829999,-0.065978144,0.246072347
2,213330000,213359999,-0.202359602,0.245849341
1,191940000,191969999,-0.10710429,0.244894611
2,188250000,188279999,-0.242340811,0.244749368
2,185400000,185429999,-0.247264666,0.244709645
1,74700000,74729999,-0.085370243,0.244027908
1,190470000,190499999,-0.071452269,0.243525686
1,79800000,79829999,-0.063759387,0.243437294
2,213360000,213389999,-0.186925018,0.24306888
2,193020000,193049999,-0.325876582,0.243021537
2,185370000,185399999,-0.342828138,0.242914662
2,193950000,193979999,-0.21636735,0.242704394
1,186060000,186089999,-0.177360948,0.24260909
2,195540000,195569999,-0.345556426,0.242362611
1,105540000,105569999,-0.080789086,0.242348982
2,185520000,185549999,0.008190243,0.242343278
1,198900000,198929999,-0.115657624,0.242005588
2,212010000,212039999,-0.098479656,0.241523673
1,70170000,70199999,-0.078536959,0.240790042
2,195390000,195419999,-0.111926392,0.24052141
1,189930000,189959999,-0.07443234,0.240514983
2,182370000,182399999,-0.331903456,0.240420153
2,13230000,13259999,-0.156012259,0.24034247
1,192000000,192029999,-0.129806063,0.239949311
2,195600000,195629999,-0.220037224,0.23986888
1,194670000,194699999,-0.219838106,0.239717715
1,190230000,190259999,-0.330825329,0.239478208
1,216360000,216389999,-0.210045733,0.239454943
2,40950000,40979999,-0.228810405,0.239195283
1,188280000,188309999,-0.107141701,0.238725312
1,190260000,190289999,-0.195049893,0.238682748
2,193920000,193949999,-0.220169188,0.238537183
1,198750000,198779999,-0.149419665,0.238291758
2,13410000,13439999,-0.185164326,0.238288018
1,188430000,188459999,-0.06571838,0.238259697
1,188160000,188189999,-0.155721804,0.238204388
2,58350000,58379999,-0.220675502,0.238036838
2,167130000,167159999,-0.085839831,0.237761839
1,72600000,72629999,-0.131034657,0.237708328
1,80250000,80279999,-0.121583827,0.237229886
2,51150000,51179999,-0.244197477,0.237153746
1,195900000,195929999,-0.086639624,0.236966738
1,79740000,79769999,-0.086112435,0.236819199
1,196230000,196259999,-0.145824986,0.236482017
2,141060000,141089999,-0.213430656,0.236444636
2,181530000,181559999,-0.237295722,0.236413802
2,142740000,142769999,-0.122951397,0.236381011
1,190380000,190409999,-0.248181123,0.236376616
1,198270000,198299999,-0.093600907,0.236362819
1,190080000,190109999,-0.208536615,0.236359018
1,98250000,98279999,-0.137707219,0.23627899
2,182340000,182369999,-0.273686881,0.236111533
1,190290000,190319999,-0.310618968,0.236033519
2,164160000,164189999,-0.246778293,0.235903398
1,188580000,188609999,-0.193538082,0.235876797
1,188640000,188669999,-0.37312373,0.235777029
1,600000,629999,-0.12346959,0.235659247
2,195030000,195059999,-0.100369047,0.235522922
2,77910000,77939999,-0.303026039,0.235055486
2,188220000,188249999,-0.066220723,0.235003751
2,185550000,185579999,-0.110439516,0.234916338
1,191790000,191819999,-0.228828059,0.234888076
2,213870000,213899999,-0.256657441,0.234876955
2,146580000,146609999,-0.111395955,0.234741292
2,156480000,156509999,-0.221794846,0.234729532
1,195390000,195419999,-0.097613817,0.23424548
1,188910000,188939999,-0.064751676,0.233925775
1,216330000,216359999,-0.376433581,0.23389476
2,181980000,182009999,-0.129246025,0.233779801
1,102660000,102689999,-0.031965307,0.233522829
2,13500000,13529999,-0.232117423,0.233496693
2,144150000,144179999,-0.195825275,0.233202027
1,191610000,191639999,-0.26283456,0.233090501
2,142620000,142649999,-0.297904917,0.23280418
1,191850000,191879999,-0.064249322,0.232488898
2,57420000,57449999,-0.023061648,0.232468932
1,195990000,196019999,-0.254164615,0.23217216
1,190680000,190709999,-0.282245466,0.231809869
2,51240000,51269999,-0.230898959,0.231783893
2,82410000,82439999,-0.156626543,0.231535387
1,81330000,81359999,-0.24446012,0.231403851
1,103410000,103439999,-0.064109371,0.231403739
1,60540000,60569999,-0.332961596,0.231378481
2,68730000,68759999,-0.3379888,0.231345017
2,52350000,52379999,-0.281907627,0.23096325
2,155220000,155249999,-0.149129869,0.230959498
1,103380000,103409999,-0.055898568,0.230828332
2,155760000,155789999,-0.099003523,0.2306859
1,72420000,72449999,-0.137314347,0.230528967
2,52320000,52349999,-0.286446114,0.230459269
1,189600000,189629999,-0.24810642,0.230418872
2,155490000,155519999,-0.198878887,0.23028149
2,124080000,124109999,-0.236836591,0.230190313
1,188250000,188279999,-0.198838188,0.230013165
2,211890000,211919999,-0.178842377,0.229968897
2,83760000,83789999,-0.180500978,0.229965176
1,70050000,70079999,-0.244714211,0.229407333
1,198360000,198389999,-0.101035526,0.229283597
1,103560000,103589999,-0.135782334,0.229243172
2,78330000,78359999,-0.026862787,0.229228949
2,181560000,181589999,-0.020726268,0.22920801
1,120000,149999,0.214919171,0.22918854
1,216090000,216119999,-0.310407721,0.229163492
1,190350000,190379999,-0.279770763,0.228823356
1,102420000,102449999,-0.187865982,0.228701309
1,102450000,102479999,-0.063027709,0.228593832
2,81270000,81299999,-0.374230295,0.228552846
2,185730000,185759999,-0.112251059,0.228405548
1,188310000,188339999,-0.119701597,0.228222646
1,72720000,72749999,-0.283026928,0.227958961
2,18480000,18509999,-0.320213657,0.227955109
2,57450000,57479999,-0.127391089,0.227928798
1,70080000,70109999,-0.372825219,0.227920608
2,155520000,155549999,-0.147219472,0.227702447
1,196320000,196349999,-0.248142388,0.22763594
1,194250000,194279999,-0.137910929,0.227589034
1,198720000,198749999,-0.180950283,0.227156432
1,195270000,195299999,-0.111237048,0.227109429
1,187890000,187919999,-0.121116229,0.227045183
2,188340000,188369999,-0.202073271,0.226822573
2,155550000,155579999,-0.065068345,0.226511049
1,194130000,194159999,-0.245727528,0.226467518
2,163980000,164009999,-0.301581901,0.226401377
1,185970000,185999999,-0.141925332,0.226316497
1,98070000,98099999,-0.336636457,0.226252646
2,146070000,146099999,-0.335791213,0.226133505
2,194910000,194939999,-0.221910194,0.226094096
2,13440000,13469999,-0.146729945,0.226003713
2,189960000,189989999,-0.133065592,0.225962079
2,189810000,189839999,-0.257758251,0.22594427
1,189510000,189539999,-0.104921351,0.225919646
2,213930000,213959999,-0.208068602,0.225871228
1,102690000,102719999,-0.103271958,0.225841164
1,194400000,194429999,-0.094985405,0.225685333
2,146520000,146549999,-0.336338138,0.225533221
2,58110000,58139999,-0.150771153,0.225511039
1,102390000,102419999,-0.12683273,0.225382204
1,190710000,190739999,-0.201225529,0.225337693
1,196290000,196319999,-0.183954743,0.225148596
1,189210000,189239999,-0.142426125,0.22504673
1,81300000,81329999,-0.211204824,0.224410094
1,81270000,81299999,-0.156827323,0.22436085
1,102030000,102059999,-0.130733512,0.224307747
2,50280000,50309999,-0.110649814,0.224215327
2,168120000,168149999,-0.092020542,0.223845207
2,144720000,144749999,-0.051250903,0.223835876
1,188190000,188219999,-0.102027703,0.223815942
2,194850000,194879999,-0.181249497,0.223767667
1,104310000,104339999,-0.116720266,0.223747628
2,182130000,182159999,-0.06893782,0.223606323
2,163320000,163349999,-0.127757151,0.223359076
2,146760000,146789999,-0.314322532,0.223174526
1,73050000,73079999,-0.178059261,0.223127641
2,185700000,185729999,-0.174246996,0.223094334
2,146340000,146369999,-0.328071375,0.222991355
1,90000,119999,-0.169782287,0.222850272
1,73200000,73229999,-0.308690628,0.222822808
1,195720000,195749999,-0.122949972,0.222733065
1,189900000,189929999,-0.203491661,0.222651281
1,190320000,190349999,-0.079081089,0.222548336
2,179490000,179519999,-0.277624186,0.222540123
1,190620000,190649999,-0.144965538,0.222426577
1,70140000,70169999,-0.141796386,0.222419344
1,198660000,198689999,0.009272824,0.222361629
1,102360000,102389999,-0.165712371,0.222174298
2,195210000,195239999,-0.239654686,0.222159755
2,195120000,195149999,-0.036035985,0.222153234
1,107670000,107699999,-0.126817446,0.222114746
2,163080000,163109999,-0.216295577,0.221943924
1,104220000,104249999,-0.015131827,0.221758362
1,188940000,188969999,-0.09521635,0.221637672
1,190110000,190139999,-0.247440376,0.22159218
1,103020000,103049999,-0.296049864,0.221446254
1,190170000,190199999,-0.283915968,0.22132001
1,198300000,198329999,-0.208690143,0.221236349
1,190020000,190049999,-0.296994364,0.221194473
2,167670000,167699999,-0.18467466,0.221045779
2,199620000,199649999,-0.255152207,0.220698515
2,13350000,13379999,-0.085226993,0.220678734
1,188220000,188249999,-0.313691507,0.220674
1,216210000,216239999,-0.169348471,0.220462264
1,72990000,73019999,-0.197245651,0.220443277
2,189870000,189899999,-0.130865109,0.220222093
2,143310000,143339999,-0.228374676,0.220200034
1,70110000,70139999,-0.170367256,0.220172174
2,213300000,213329999,-0.068989584,0.220132572
1,216240000,216269999,-0.211837295,0.22012646
2,166200000,166229999,-0.10772108,0.220123922
2,186510000,186539999,-0.292385384,0.22009097
1,75090000,75119999,-0.366161928,0.219919513
2,126660000,126689999,-0.223694718,0.219917342
1,98160000,98189999,-0.365898855,0.21983846
2,194220000,194249999,-0.228039626,0.219732127
2,213990000,214019999,-0.076524485,0.219707494
2,167280000,167309999,-0.216196304,0.219656279
1,74640000,74669999,-0.051543588,0.219641363
1,190200000,190229999,-0.217039809,0.219630363
1,191820000,191849999,-0.107121208,0.219606521
1,107700000,107729999,-0.161570217,0.219490703
1,195300000,195329999,-0.233765364,0.219409599
1,102300000,102329999,-0.096597306,0.219405953
1,106230000,106259999,-0.133078379,0.219147048
1,97560000,97589999,-0.300066912,0.21910898
2,40860000,40889999,-0.190906064,0.219104413
1,72030000,72059999,-0.194384982,0.219054437
1,74220000,74249999,-0.250203906,0.219054059
1,198960000,198989999,-0.218137693,0.219011111
2,156510000,156539999,-0.095268397,0.218956315
1,187860000,187889999,-0.290403937,0.218876639
1,190740000,190769999,-0.110544772,0.218475443
2,163260000,163289999,-0.231479175,0.218296469
2,195510000,195539999,-0.092489929,0.21828452
1,189180000,189209999,-0.233666676,0.218116404
2,167310000,167339999,-0.174591509,0.217946334
1,73080000,73109999,-0.130845988,0.217835496
1,189000000,189029999,-0.181316707,0.217805886
2,13320000,13349999,-0.144527768,0.21754205
2,212670000,212699999,-0.141324262,0.217514697
1,106050000,106079999,-0.282812858,0.217472347
1,98460000,98489999,-0.227294476,0.217416597
1,215250000,215279999,-0.164348569,0.217405175
1,80220000,80249999,-0.180537824,0.217333636
1,186870000,186899999,0.033622489,0.217207329
2,52380000,52409999,-0.154462892,0.21701195
2,213030000,213059999,-0.277663821,0.216939595
1,60510000,60539999,-0.149063668,0.21681509
1,103620000,103649999,-0.07426963,0.216798284
2,142680000,142709999,-0.137830854,0.216781714
2,185430000,185459999,-0.096560586,0.216676936
2,51330000,51359999,-0.179606321,0.216451889
2,155190000,155219999,-0.282181045,0.216353949
1,81120000,81149999,-0.295332047,0.216282578
1,216060000,216089999,-0.319876686,0.216269397
1,70470000,70499999,-0.112637331,0.216166759
2,36180000,36209999,-0.254154101,0.216102137
2,156390000,156419999,-0.366332292,0.216003304
2,212940000,212969999,-0.254890943,0.21598277
1,198210000,198239999,-0.192965738,0.215854483
2,164040000,164069999,-0.198917647,0.215834013
2,77550000,77579999,-0.199291302,0.215828075
2,195480000,195509999,-0.217198611,0.215799336
1,88260000,88289999,-0.037352233,0.21572997
1,190050000,190079999,-0.15515457,0.215478101
1,98130000,98159999,-0.106589988,0.21514581
2,163530000,163559999,-0.351019945,0.215060578
2,142560000,142589999,-0.234867073,0.215045678
2,142650000,142679999,-0.253302662,0.214948988
2,77520000,77549999,-0.060517388,0.214947071
2,13200000,13229999,-0.345055531,0.214816431
2,83730000,83759999,-0.099835723,0.214491846
1,82410000,82439999,-0.074950904,0.214172968
2,205530000,205559999,-0.252239158,0.214132706
2,117510000,117539999,-0.087271808,0.214119361
2,179640000,179669999,-0.022489889,0.214077593
1,191760000,191789999,-0.255352545,0.214034951
2,192990000,193019999,-0.181038558,0.21380998
2,186090000,186119999,-0.304056185,0.213512508
2,163050000,163079999,-0.043378419,0.213508697
1,190530000,190559999,-0.26915049,0.213332036
1,106170000,106199999,-0.018385356,0.213293917
1,199020000,199049999,-0.272968642,0.213169996
2,143880000,143909999,-0.367220247,0.212983792
1,90840000,90869999,-0.256100297,0.212964843
2,169830000,169859999,-0.261649414,0.212665595
1,185880000,185909999,-0.145714297,0.212601537
1,83880000,83909999,-0.322733219,0.21221365
2,144270000,144299999,-0.101227831,0.212211894
1,84600000,84629999,-0.070291525,0.212159186
2,195000000,195029999,-0.198049695,0.212144252
1,105510000,105539999,-0.300401319,0.212115519
1,194190000,194219999,-0.12756933,0.21179499
2,142290000,142319999,-0.256933495,0.211490142
1,98400000,98429999,-0.092137858,0.211437087
2,193080000,193109999,-0.248646525,0.211363497
2,58290000,58319999,-0.244936403,0.211290371
2,166410000,166439999,-0.126581845,0.211194606
1,83910000,83939999,-0.225458797,0.211178173
2,156570000,156599999,-0.181775691,0.21115366
2,193680000,193709999,-0.088744131,0.211150091
2,213960000,213989999,-0.122794469,0.211062815
1,98100000,98129999,-0.141249462,0.211013936
1,98010000,98039999,-0.193577951,0.210670994
2,164070000,164099999,-0.103912058,0.210541653
2,163710000,163739999,-0.327846862,0.210521102
1,56130000,56159999,-0.069268151,0.210467136
1,105930000,105959999,-0.09754018,0.210353815
1,107820000,107849999,-0.254651141,0.210077021
2,213090000,213119999,-0.081834469,0.21004161
1,105600000,105629999,-0.253756119,0.209994635
2,188490000,188519999,-0.125410564,0.209938525
2,4290000,4319999,0.054055945,0.209861128
2,147210000,147239999,-0.074893605,0.209836768
2,188310000,188339999,-0.116882072,0.209600024
1,195750000,195779999,-0.155859757,0.209587059
2,143970000,143999999,-0.085317406,0.209251217
1,189630000,189659999,-0.232981079,0.209114243
1,191100000,191129999,-0.135058009,0.209042828
2,58380000,58409999,-0.059486925,0.20899107
2,155790000,155819999,-0.162979961,0.208946513
2,147270000,147299999,-0.198092011,0.208911567
2,156450000,156479999,-0.108430202,0.208878497
2,77220000,77249999,-0.122481709,0.208803516
2,165300000,165329999,0.055641597,0.208575323
2,141120000,141149999,-0.20195283,0.208563958
2,212790000,212819999,-0.148148299,0.208450809
2,185490000,185519999,-0.044638507,0.20841118
2,194970000,194999999,-0.076646762,0.208283515
1,187920000,187949999,-0.271279454,0.208009684
1,219150000,219179999,-0.015421615,0.207972474
1,103200000,103229999,-0.299636916,0.207856061
2,144210000,144239999,-0.129033168,0.207560264
2,179520000,179549999,-0.304658737,0.207324103
2,182160000,182189999,-0.183269184,0.207264249
1,216420000,216449999,-0.30604319,0.207167522
2,141780000,141809999,-0.252356885,0.207024223
2,163440000,163469999,-0.234083928,0.206985535
2,51300000,51329999,-0.200050183,0.206943062
1,192180000,192209999,-0.128391452,0.206927432
1,219120000,219149999,-0.148190964,0.206783019
2,166890000,166919999,-0.206724083,0.206756331
2,163020000,163049999,-0.295204258,0.206667156
2,194640000,194669999,-0.210053681,0.206561719
2,186030000,186059999,-0.195239908,0.206496283
1,72120000,72149999,-0.077122088,0.206205612
1,74730000,74759999,-0.24408462,0.20616731
1,106200000,106229999,-0.245123004,0.206139242
1,196440000,196469999,-0.087677084,0.206005334
2,188010000,188039999,-0.157796895,0.205930669
2,194940000,194969999,-0.037295677,0.205885129
2,58410000,58439999,-0.161438495,0.205884172
1,188970000,188999999,-0.194991452,0.205862801
2,104610000,104639999,0.022647278,0.205820113
2,189900000,189929999,-0.044892405,0.205739725
2,117570000,117599999,-0.21633808,0.205706863
2,141480000,141509999,-0.098243521,0.205670122
2,187980000,188009999,-0.324517503,0.205669509
1,73950000,73979999,-0.233105805,0.205666882
2,212970000,212999999,-0.024032883,0.205519663
2,189330000,189359999,-0.22004213,0.205288673
1,74190000,74219999,-0.181804205,0.20528503
2,180690000,180719999,-0.023487311,0.205245478
2,146940000,146969999,-0.246866938,0.205227644
2,13380000,13409999,-0.339556606,0.205144661
1,198630000,198659999,-0.099164395,0.205137955
2,145530000,145559999,-0.214260499,0.205088711
2,145860000,145889999,-0.177138245,0.204986993
2,162810000,162839999,0.016455363,0.204963212
2,214020000,214049999,-0.096419239,0.204892523
1,103770000,103799999,-0.287835973,0.204742806
2,78750000,78779999,-0.087806248,0.204734836
1,70500000,70529999,-0.127418397,0.204714487
2,181860000,181889999,-0.091750705,0.204537012
2,78240000,78269999,-0.155951534,0.204516203
2,194340000,194369999,-0.139303922,0.204217311
1,98520000,98549999,-0.179921221,0.204204743
2,142890000,142919999,-0.096663605,0.204133105
1,198990000,199019999,-0.145592488,0.204047361
1,216450000,216479999,-0.089147906,0.203962326
1,75120000,75149999,-0.274537953,0.203931864
1,191250000,191279999,0.001200528,0.203880161
1,189030000,189059999,-0.163080549,0.20387668
2,167160000,167189999,-0.02266528,0.203775123
2,162840000,162869999,-0.092669413,0.203670392
2,13290000,13319999,-0.032084274,0.203638284
2,213390000,213419999,-0.167960561,0.203522761
1,188520000,188549999,-0.117530772,0.203472732
2,58020000,58049999,-0.194160498,0.203230596
1,195210000,195239999,-0.11243009,0.203143809
2,213000000,213029999,-0.201714111,0.20313722
2,146490000,146519999,-0.143122771,0.203027757
2,195990000,196019999,-0.232141367,0.20296433
1,195450000,195479999,-0.23887694,0.20293656
2,182100000,182129999,-0.097825024,0.202775354
2,155130000,155159999,-0.002745513,0.202765455
2,78360000,78389999,-0.000939145,0.202710927
2,104640000,104669999,-0.206779678,0.20266561
2,77700000,77729999,-0.138390232,0.202658406
1,188100000,188129999,-0.172919424,0.202316608
2,138840000,138869999,-0.065786841,0.202287103
2,51960000,51989999,-0.299157127,0.202272643
2,210300000,210329999,-0.168283131,0.202236524
1,104100000,104129999,-0.120482657,0.202189249
2,41010000,41039999,-0.145443202,0.202114897
1,189570000,189599999,-0.272031171,0.202110297
2,142530000,142559999,-0.278014674,0.201932887
2,145920000,145949999,-0.100841998,0.201903657
1,79410000,79439999,-0.108972614,0.201793419
2,226050000,226079999,-0.22264144,0.201747317
1,216930000,216959999,-0.299714121,0.20173697
2,83640000,83669999,-0.050252311,0.201717518
2,142920000,142949999,-0.097967247,0.201541191
2,14160000,14189999,-0.099591155,0.201459205
1,56100000,56129999,0.002694218,0.201345341
1,172110000,172139999,-0.141076852,0.201230944
1,196200000,196229999,-0.226054863,0.201188564
2,51750000,51779999,-0.187141877,0.201150616
2,165270000,165299999,-0.375756874,0.201126315
2,78210000,78239999,-0.306069143,0.201048787
1,190140000,190169999,-0.190596944,0.201002764
2,210540000,210569999,-0.123497849,0.200859987
2,182010000,182039999,-0.086631874,0.200687482
2,77880000,77909999,-0.296610645,0.200592942
1,81030000,81059999,-0.215983502,0.200584983
2,52410000,52439999,-0.31405543,0.200473022
1,102270000,102299999,-0.254267957,0.200368329
2,185340000,185369999,-0.236020225,0.200250832
2,146370000,146399999,-0.171400309,0.200146813
1,83160000,83189999,-0.26292714,0.200125224
1,106500000,106529999,-0.200645882,0.200108181
2,142950000,142979999,-0.194041701,0.20008737
1,190770000,190799999,-0.322656701,0.200000378
2,185640000,185669999,-0.259549431,0.199971632
2,164010000,164039999,-0.152910034,0.199777626
2,188190000,188219999,-0.21236932,0.199766332
2,50340000,50369999,-0.045303735,0.19973032
1,192270000,192299999,-0.245595165,0.199721243
2,189930000,189959999,-0.047832467,0.199696742
1,186000000,186029999,-0.188349477,0.199682491
1,106320000,106349999,-0.17935351,0.199527667
2,155880000,155909999,0.023220923,0.199337804
1,191550000,191579999,-0.052279689,0.199334281
2,189360000,189389999,-0.298182033,0.199263288
1,75060000,75089999,-0.378030993,0.199203954
2,185250000,185279999,-0.18648146,0.199009659
1,197610000,197639999,-0.067951897,0.198995667
1,197430000,197459999,-0.095127399,0.198894293
2,155310000,155339999,-0.215436133,0.198878207
1,106590000,106619999,-0.102221006,0.198862315
1,107790000,107819999,-0.023757824,0.198647956
2,164580000,164609999,-0.127962685,0.19863629
2,82380000,82409999,-0.164010396,0.198629369
1,73980000,74009999,-0.21418852,0.198623488
1,188070000,188099999,-0.047887204,0.198334385
1,198930000,198959999,0.014840445,0.198293855
1,73440000,73469999,-0.082765577,0.198246995
2,226920000,226949999,-0.127682529,0.198118028
1,106260000,106289999,-0.176786062,0.198007331
1,72960000,72989999,-0.256692455,0.197967318
2,182220000,182249999,-0.085395133,0.197944552
1,191880000,191909999,-0.106575016,0.197830873
1,197400000,197429999,-0.208035907,0.197734914
2,145980000,146009999,-0.218345742,0.197712782
1,238770000,238799999,-0.027630267,0.197554532
2,147300000,147329999,-0.161253319,0.197532175
2,116460000,116489999,-0.146268099,0.197531169
1,98640000,98669999,-0.367743492,0.197511161
2,210270000,210299999,-0.040151473,0.197481789
1,197130000,197159999,-0.110672789,0.197476416
1,98430000,98459999,0.005474692,0.197422451
2,150870000,150899999,-0.261839989,0.197333155
1,73470000,73499999,-0.17742394,0.197303319
1,189060000,189089999,-0.094579959,0.19727221
2,185460000,185489999,-0.092809101,0.197120464
2,50310000,50339999,-0.118729044,0.197096618
2,146550000,146579999,-0.322113507,0.197089873
2,142260000,142289999,-0.174775262,0.197022353
1,216720000,216749999,-0.179659835,0.196923169
1,81000000,81029999,-0.289089742,0.196870192
2,155940000,155969999,-0.231405333,0.196846042
1,104190000,104219999,-0.279951407,0.196825653
2,144030000,144059999,-0.341678415,0.196697421
2,186120000,186149999,-0.241803372,0.196592329
2,194670000,194699999,-0.070312717,0.196487964
2,57360000,57389999,-0.095456112,0.196483735
2,188070000,188099999,-0.080566331,0.19647951
2,83880000,83909999,-0.153507531,0.196343904
2,185580000,185609999,-0.108931966,0.196067726
2,163650000,163679999,-0.14909217,0.196000889
2,35370000,35399999,-0.299305404,0.195989465
1,97890000,97919999,-0.246044664,0.195974172
1,191130000,191159999,-0.145234839,0.195949798
2,212640000,212669999,-0.21517605,0.195881758
1,73740000,73769999,-0.161208343,0.195810759
2,212310000,212339999,-0.204979994,0.19576736
2,194190000,194219999,-0.027389958,0.19573461
1,107940000,107969999,-0.231790805,0.195696602
2,164190000,164219999,-0.212380795,0.195683734
1,72390000,72419999,-0.203082412,0.195658284
2,77490000,77519999,-0.305039834,0.195656776
1,196560000,196589999,-0.014429024,0.195251283
2,147090000,147119999,-0.258454462,0.19522573
1,74250000,74279999,-0.075380582,0.195176817
2,140820000,140849999,-0.108575498,0.195009376
2,212040000,212069999,-0.321772538,0.194822165
2,57990000,58019999,-0.0899918,0.194612481
1,71910000,71939999,-0.213179452,0.194548057
1,105420000,105449999,-0.108569924,0.194542749
1,188490000,188519999,-0.20601083,0.194524467
2,213060000,213089999,-0.327043176,0.194505232
2,195630000,195659999,-0.256536668,0.194371667
2,50550000,50579999,-0.00964361,0.194293939
1,216180000,216209999,-0.160534605,0.194176181
1,215280000,215309999,-0.099740498,0.194124191
2,60060000,60089999,-0.206131515,0.194107062
1,79710000,79739999,-0.055228707,0.194096626
2,83670000,83699999,-0.265615052,0.194071451
1,118860000,118889999,-0.110140312,0.193939833
